url,country,advertiser,format,language,quantity,variation,type,content,html code,clip_results,audio,audio_translated,detectron2_results,text,text_translated,errors
https://adstransparency.google.com/advertiser/AR10068349505939439617/creative/CR06363205584753262593?region=BO,Bolivia,Yango,video-banner,spanish,3,1,video-banner,"https://rr2---sn-ui0oqxgoxu-aj5l.googlevideo.com/videoplayback?expire=1739158233&ei=WQKpZ_nDK9SfibEPr9e8mAI&ip=82.102.111.22&id=1aa1e42f811a62f3&itag=18&source=youtube&requiressl=yes&xpc=Eghovf3BOnoBAQ==&met=1739129433,&mh=cy&mm=31&mn=sn-ui0oqxgoxu-aj5l&ms=au&mv=m&mvi=2&pl=24&rms=au,au&susc=daps&obr=googlesyndication.com&ctier=L&mime=video/mp4&vprv=1&rqh=1&dur=6.058&lmt=1732121716584832&mt=1739128884&txp=4530434&sparams=expire,ei,ip,id,itag,source,requiressl,xpc,susc,obr,ctier,mime,vprv,rqh,dur,lmt&sig=AJfQdSswRQIhAMf99xll4HuXssuPnuDBdjRV4Bjf2b0-_KXMz7w-Y7FEAiAVA-GRTKUnsQPqNHDmll3eXj5woWnbOJveDGI6y655sw==&lsparams=met,mh,mm,mn,ms,mv,mvi,pl,rms&lsig=AGluJ3MwRQIgarrSRj8ictaImR2AOReHUFTBdwUmGO6o68-B8ghMwf4CIQDLWoHsH06LjpBtidO3zTsQSOfkN9x0Bu_fGZzo6-mOqQ==",CR06363205584753262593_1.html,"Yango taxi - 3 times (conf 81%)
Pon Tu Precio - 2 times (conf 70%)",Mami que esta noche yo seré tu yango,Mommy that tonight I will be your yango,"Car - 16 times (conf 77%)
Person - 4 times (conf 96%)
Cell phone - 4 times (conf 89%)",,,
https://adstransparency.google.com/advertiser/AR10068349505939439617/creative/CR06363205584753262593?region=BO,Bolivia,Yango,video-banner,spanish,3,2,video-banner,"https://rr2---sn-ui0oqxgoxu-aj5l.googlevideo.com/videoplayback?expire=1739158233&ei=WQKpZ87HJsycibEPw9Ts8A0&ip=82.102.111.22&id=75be3256a8c86a4e&itag=18&source=youtube&requiressl=yes&xpc=Eghovf3BOnoBAQ==&met=1739129433,&mh=PH&mm=31&mn=sn-ui0oqxgoxu-aj5l&ms=au&mv=m&mvi=2&pcm2cms=yes&pl=24&rms=au,au&susc=daps&obr=googlesyndication.com&ctier=L&mime=video/mp4&vprv=1&rqh=1&dur=6.060&lmt=1732131247859693&mt=1739128884&txp=4430434&sparams=expire,ei,ip,id,itag,source,requiressl,xpc,susc,obr,ctier,mime,vprv,rqh,dur,lmt&sig=AJfQdSswRgIhAMZTtQmvpv5FGVPQ6CEGemJ5qrdtsXE8TJrjz-POO1O9AiEA85UDbWJVcg-VYvIp2-m_ja-se-yEKWmolaPRa5JFm7Y=&lsparams=met,mh,mm,mn,ms,mv,mvi,pcm2cms,pl,rms&lsig=AGluJ3MwRAIgIrmVndi0i2Sgf76mJ2zmcGi4pdgx-0sGQ91SkQnu9GICIEoUfTA0_A7PkY-cMckCD0g6NEWylJb84jJbq-JBfSop",CR06363205584753262593_2.html,"Yango taxi - 5 times (conf 86%)
Pon Tu Precio - 2 times (conf 24%)",Mami que esta noche yo seré tu llango,Mommy that tonight I will be your plango,"Car - 6 times (conf 75%)
Person - 4 times (conf 100%)
Cell phone - 4 times (conf 89%)
Stop sign - 1 time (conf 60%)",,,
https://adstransparency.google.com/advertiser/AR10068349505939439617/creative/CR06363205584753262593?region=BO,Bolivia,Yango,video-banner,spanish,3,3,video-banner,"https://rr2---sn-ui0oqxgoxu-aj5l.googlevideo.com/videoplayback?expire=1739158233&ei=WQKpZ-zoKryG1dUPz9Xu8AQ&ip=82.102.111.22&id=75be3256a8c86a4e&itag=18&source=youtube&requiressl=yes&xpc=Eghovf3BOnoBAQ==&met=1739129433,&mh=PH&mm=31&mn=sn-ui0oqxgoxu-aj5l&ms=au&mv=m&mvi=2&pl=24&rms=au,au&susc=daps&obr=googlesyndication.com&ctier=L&mime=video/mp4&vprv=1&rqh=1&dur=6.060&lmt=1732131247859693&mt=1739128884&txp=4430434&sparams=expire,ei,ip,id,itag,source,requiressl,xpc,susc,obr,ctier,mime,vprv,rqh,dur,lmt&sig=AJfQdSswRgIhAPgQfrWkExS073GMSu30XX1o-4_7oF-G20jg1bX4cRUMAiEA6j9_hqf-pMndKkGjAu_dYZXcAgT1S9ULWggV2dPAnWU=&lsparams=met,mh,mm,mn,ms,mv,mvi,pl,rms&lsig=AGluJ3MwRAIgYjYXOfC2GXDSYlpp1E-LiUrxSTQeXCrM2dDzF1Hmf4YCIGrf7_qJU5uUwILSXH-ZJPyAfr9E0xWmQzBLSsmKPeaI",CR06363205584753262593_3.html,"Yango taxi - 5 times (conf 86%)
Pon Tu Precio - 2 times (conf 24%)",Mami que esta noche yo seré tu llango,Mommy that tonight I will be your plango,"Car - 6 times (conf 75%)
Person - 4 times (conf 100%)
Cell phone - 4 times (conf 89%)
Stop sign - 1 time (conf 60%)",,,
https://adstransparency.google.com/advertiser/AR10068349505939439617/creative/CR02969858714250510337?region=GT,Guatemala,Yango,video-banner,spanish,3,1,banner,https://tpc.googlesyndication.com/simgad/9199525045372511528,CR02969858714250510337_1.html,,,,,,,
https://adstransparency.google.com/advertiser/AR10068349505939439617/creative/CR02969858714250510337?region=GT,Guatemala,Yango,video-banner,spanish,3,2,banner,https://tpc.googlesyndication.com/simgad/9199525045372511528,CR02969858714250510337_2.html,,,,,,,
https://adstransparency.google.com/advertiser/AR10068349505939439617/creative/CR02969858714250510337?region=GT,Guatemala,Yango,video-banner,spanish,3,3,banner,https://tpc.googlesyndication.com/simgad/9199525045372511528,CR02969858714250510337_3.html,,,,,,,
https://adstransparency.google.com/advertiser/AR06037778987931926529/creative/CR11309079366350143489?region=CL,Chile,Uber,search,spanish,1,1,search-ad,https://tpc.googlesyndication.com/archive/sadbundle/$csp%3Darchive$/497159791945569102/index.html,"
                <iframe 
                width='380'
                height='219' 
                src='https://tpc.googlesyndication.com/archive/sadbundle/$csp%3Darchive$/497159791945569102/index.html' 
                frameborder='0' 
                allowfullscreen>
                </iframe>
                ",,,,,"Patrocinado uber.com www.uber.com/ Disponible Las 24 Horas - -50% En Tus Próximos 2 Viajes 50% Ahorro Próx. 2 Viajes. Cód: UBCL5O0. *Máx. $2000 PNiaje. Aplica T3,C. Tiempo Limitado Calculadora de precios - Estamos en todo el mundo","Sponsored uber.com www.uber.com/ Available 24 hours - -50% in your next 2 trips 50% savings nearby.2 trips.Code: UBCL5O0.*Max.$ 2000 pniaje.Applies t3, c.LIMITED TIME Price calculator - We are worldwide",
https://adstransparency.google.com/advertiser/AR03837864440766660609/creative/CR01881864470775463937?region=CO,Colombia,Picap,video-google,spanish,3,1,video-google,"https://rr3---sn-ui0oqxgoxu-aj5e.googlevideo.com/videoplayback?expire=1739158487&ei=VwOpZ5PqHfnCvfIPz9TyqQw&ip=82.102.111.22&id=3eed9caf7851df7f&itag=22&source=youtube&requiressl=yes&xpc=Eghovf3BOnoBAQ==&met=1739129687,&mh=50&mm=31&mn=sn-ui0oqxgoxu-aj5e&ms=au&mv=m&mvi=3&pl=24&rms=au,au&susc=daps&obr=googlesyndication.com&ctier=L&mime=video/mp4&vprv=1&rqh=1&dur=7.941&lmt=1733451469242884&mt=1739129111&txp=5432434&sparams=expire,ei,ip,id,itag,source,requiressl,xpc,susc,obr,ctier,mime,vprv,rqh,dur,lmt&sig=AJfQdSswRAIgUgmLltOxZHalDJ_iiqkd7hSQpF9WuqVyFqIr6L26kA0CIGVeYY7_PzL20FLRH5eOgFLC-b9Tk9j86CWzoIzchVdh&lsparams=met,mh,mm,mn,ms,mv,mvi,pl,rms&lsig=AGluJ3MwRQIhAIy9UsLJhFMwL5pHtaX1816PWK05lu6_svZ1dpBFMS6_AiBqm7a53GvFq7F-iFXnwwYRKEyftBN3Fc_64C8Ciz8QzQ==",CR01881864470775463937_1.html,"Picap taxi - 2 times (conf 56%)
Blablacar - 2 times (conf 37%)
Lyft taxi - 1 time (conf 21%)",¡Suscríbete al canal!,Subscribe to the channel!,"Person - 10 times (conf 98%)
Car - 3 times (conf 87%)
Chair - 3 times (conf 82%)
Kite - 2 times (conf 92%)
Motorcycle - 1 time (conf 100%)
Laptop - 1 time (conf 84%)
Cup - 1 time (conf 70%)
Remote - 1 time (conf 55%)",,,
https://adstransparency.google.com/advertiser/AR03837864440766660609/creative/CR01881864470775463937?region=CO,Colombia,Picap,video-google,spanish,3,2,video-google,"https://rr2---sn-ui0oqxgoxu-aj5e.googlevideo.com/videoplayback?expire=1739158487&ei=VwOpZ5DFD4mCibEPzLmekQo&ip=82.102.111.22&id=08268e7a61562b8e&itag=22&source=youtube&requiressl=yes&xpc=Eghovf3BOnoBAQ==&met=1739129687,&mh=5O&mm=31&mn=sn-ui0oqxgoxu-aj5e&ms=au&mv=m&mvi=2&pl=24&rms=au,au&susc=daps&obr=googlesyndication.com&ctier=L&mime=video/mp4&vprv=1&rqh=1&dur=8.150&lmt=1735932842327345&mt=1739129354&txp=4432434&sparams=expire,ei,ip,id,itag,source,requiressl,xpc,susc,obr,ctier,mime,vprv,rqh,dur,lmt&sig=AJfQdSswRAIgWI5zg7bX-EL27xo7PdjoAFGi3EcAXQdDn0a8L7Hef8ICID2WUPtOdcGUcA6aTqx2faq9uyBqwGIoU9Prk7dQ2xv5&lsparams=met,mh,mm,mn,ms,mv,mvi,pl,rms&lsig=AGluJ3MwRgIhAN1gnwC9Xa0risoh3w4PHak6kICCrJ2TSNpDizZSbJ9bAiEA-TitSG02GP30Prg1q3sBh6xVlkg9U_p0YLTtiy3rU8I=",CR01881864470775463937_2.html,"Blablacar - 3 times (conf 74%)
Picap taxi - 1 time (conf 74%)
delivery service - 1 time (conf 31%)",J<|hi|>?,J <| Hi |>?,"Person - 15 times (conf 93%)
Car - 8 times (conf 81%)
Kite - 2 times (conf 92%)
Suitcase - 2 times (conf 58%)
Motorcycle - 1 time (conf 100%)
Chair - 1 time (conf 60%)
Handbag - 1 time (conf 56%)",,,
https://adstransparency.google.com/advertiser/AR03837864440766660609/creative/CR01881864470775463937?region=CO,Colombia,Picap,video-google,spanish,3,3,video-google,"https://rr1---sn-ui0oqxgoxu-aj5e.googlevideo.com/videoplayback?expire=1739158487&ei=VwOpZ--QGbyYibEP8-LUkQo&ip=82.102.111.22&id=74faac06ecb6efc4&itag=22&source=youtube&requiressl=yes&xpc=Eghovf3BOnoBAQ==&met=1739129687,&mh=kO&mm=31&mn=sn-ui0oqxgoxu-aj5e&ms=au&mv=m&mvi=1&pl=24&rms=au,au&susc=daps&obr=googlesyndication.com&ctier=L&mime=video/mp4&vprv=1&rqh=1&dur=8.661&lmt=1733439915723406&mt=1739129111&txp=5432434&sparams=expire,ei,ip,id,itag,source,requiressl,xpc,susc,obr,ctier,mime,vprv,rqh,dur,lmt&sig=AJfQdSswRAIgKn7bvjxjYNmDNeQdn2kEmjt0V-gEY9oW7GcZmsFjVs4CIH_vSOoAGySzgOWljh0GUOZOmP41xaQo4gMRhfnodTAr&lsparams=met,mh,mm,mn,ms,mv,mvi,pl,rms&lsig=AGluJ3MwRQIhAOE5yzUTb7_1ZViKqC_7j4eLx73Ol0a2HF3D8nejjnWVAiB1iz0uwoqRieIwPFGLE5cQr5ZOkWbAOPy1gogPFykXsQ==",CR01881864470775463937_3.html,"Picap taxi - 1 time (conf 78%)
Cabify taxi - 1 time (conf 25%)",¡SUSCRÍBETE!,Subscribe!,"Person - 12 times (conf 100%)
Potted plant - 4 times (conf 74%)
Car - 3 times (conf 87%)
Kite - 2 times (conf 95%)
Motorcycle - 1 time (conf 100%)
Bench - 1 time (conf 80%)
Tie - 1 time (conf 73%)
Remote - 1 time (conf 67%)",,,
